Dataset,SF,ARI,K
Dataset A,0.0849999999999999,0.0,7
Dataset A,0.0849999999999999,0.0,8
Dataset A,0.0849999999999999,0.0,9
Dataset A,0.0849999999999999,0.0,10
Dataset A,0.0849999999999999,0.0,11
Dataset A,0.0849999999999999,0.0,12
Dataset A,0.0849999999999999,0.0,13
Dataset A,0.0849999999999999,0.0,14
Dataset A,0.0849999999999999,0.0,15
Dataset A,0.0849999999999999,0.0,16
Dataset A,0.0849999999999999,0.0,17
Dataset A,0.0849999999999999,0.0,18
Dataset A,0.0849999999999999,0.0,19
Dataset A,0.0849999999999999,0.0,20
Dataset A,0.0849999999999999,0.0,21
Dataset A,0.0849999999999999,0.0,22
Dataset A,0.0849999999999999,0.0,23
Dataset A,0.0849999999999999,0.0,24
Dataset A,0.0849999999999999,0.0,25
Dataset A,0.0849999999999999,0.0,26
Dataset A,0.0849999999999999,0.0,27
Dataset A,0.0849999999999999,0.0,28
Dataset A,0.0849999999999999,0.0,29
Dataset A,0.0849999999999999,0.0,30
Dataset A,0.0849999999999999,0.0,31
Dataset A,0.0849999999999999,0.0,32
Dataset A,0.0849999999999999,0.0,33
Dataset A,0.0849999999999999,0.0,34
Dataset A,0.0849999999999999,0.0,35
Dataset A,0.0899999999999999,0.2667229296689784,2
Dataset A,0.0899999999999999,0.2324332016935283,3
Dataset A,0.0899999999999999,0.1360552763819095,4
Dataset A,0.0899999999999999,0.0893184405226435,5
Dataset A,0.0899999999999999,0.0116339910311327,6
Dataset A,0.0899999999999999,0.0,7
Dataset A,0.0899999999999999,0.0,8
Dataset A,0.0899999999999999,0.0,9
Dataset A,0.0899999999999999,0.0,10
Dataset A,0.0899999999999999,0.0,11
Dataset A,0.0899999999999999,0.0,12
Dataset A,0.0899999999999999,0.0,13
Dataset A,0.0899999999999999,0.0,14
Dataset A,0.0899999999999999,0.0,15
Dataset A,0.0899999999999999,0.0,16
Dataset A,0.0899999999999999,0.0,17
Dataset A,0.0899999999999999,0.0,18
Dataset A,0.0899999999999999,0.0,19
Dataset A,0.0899999999999999,0.0,20
Dataset A,0.0899999999999999,0.0,21
Dataset A,0.0899999999999999,0.0,22
Dataset A,0.0899999999999999,0.0,23
Dataset A,0.0899999999999999,0.0,24
Dataset A,0.0899999999999999,0.0,25
Dataset A,0.0899999999999999,0.0,26
Dataset A,0.0899999999999999,0.0,27
Dataset A,0.0899999999999999,0.0,28
Dataset A,0.0899999999999999,0.0,29
Dataset A,0.0899999999999999,0.0,30
Dataset A,0.0899999999999999,0.0,31
Dataset A,0.0899999999999999,0.0,32
Dataset A,0.0899999999999999,0.0,33
Dataset A,0.0899999999999999,0.0,34
Dataset A,0.0899999999999999,0.0,35
Dataset A,0.0949999999999999,0.3560370920453097,2
Dataset A,0.0949999999999999,0.2545477823725803,3
Dataset A,0.0949999999999999,0.1803083369415843,4
Dataset A,0.0949999999999999,0.1174647258207248,5
Dataset A,0.0949999999999999,0.0728228584316918,6
Dataset A,0.0949999999999999,0.0,7
Dataset A,0.0949999999999999,0.0,8
Dataset A,0.0949999999999999,0.0,9
Dataset A,0.0949999999999999,0.0,10
Dataset A,0.0949999999999999,0.0,11
Dataset A,0.0949999999999999,0.0,12
Dataset A,0.0949999999999999,0.0,13
Dataset A,0.0949999999999999,0.0,14
Dataset A,0.0949999999999999,0.0,15
Dataset A,0.0949999999999999,0.0,16
Dataset A,0.0949999999999999,0.0,17
Dataset A,0.0949999999999999,0.0,18
Dataset A,0.0949999999999999,0.0,19
Dataset A,0.0949999999999999,0.0,20
Dataset A,0.0949999999999999,0.0,21
Dataset A,0.0949999999999999,0.0,22
Dataset A,0.0949999999999999,0.0,23
Dataset A,0.0949999999999999,0.0,24
Dataset A,0.0949999999999999,0.0,25
Dataset A,0.0949999999999999,0.0,26
Dataset A,0.0949999999999999,0.0,27
Dataset A,0.0949999999999999,0.0,28
Dataset A,0.0949999999999999,0.0,29
Dataset A,0.0949999999999999,0.0,30
Dataset A,0.0949999999999999,0.0,31
Dataset A,0.0949999999999999,0.0,32
Dataset A,0.0949999999999999,0.0,33
Dataset A,0.0949999999999999,0.0,34
Dataset A,0.0949999999999999,0.0,35
Dataset A,0.0999999999999999,0.4411499348628508,2
Dataset A,0.0999999999999999,0.2709124355858549,3
Dataset A,0.0999999999999999,0.21173583018691,4
Dataset A,0.0999999999999999,0.1426901533946136,5
Dataset A,0.0999999999999999,0.0921728868110031,6
Dataset A,0.0999999999999999,0.0304069478136924,7
Dataset A,0.0999999999999999,0.0,8
Dataset A,0.0999999999999999,0.0,9
Dataset A,0.0999999999999999,0.0,10
Dataset A,0.0999999999999999,0.0,11
Dataset A,0.0999999999999999,0.0,12
Dataset A,0.0999999999999999,0.0,13
Dataset A,0.0999999999999999,0.0,14
Dataset A,0.0999999999999999,0.0,15
Dataset A,0.0999999999999999,0.0,16
Dataset A,0.0999999999999999,0.0,17
Dataset A,0.0999999999999999,0.0,18
Dataset A,0.0999999999999999,0.0,19
Dataset A,0.0999999999999999,0.0,20
Dataset A,0.0999999999999999,0.0,21
Dataset A,0.0999999999999999,0.0,22
